AuditID,StoreID,FranchiseOwner,Region,AuditDate,FiscalYear,FiscalQuarter,FSA_Score,FirstPriorityFinding,SecondPriorityFinding,AuditorCode
AUD-10001,#8001,Adelphi Holdings,Northeast,2024-03-18,2024,Q1,88,False,False,STR-01
AUD-10002,#8001,Adelphi Holdings,Northeast,2024-05-31,2024,Q2,86,False,False,STR-02
AUD-10003,#8001,Adelphi Holdings,Northeast,2024-09-15,2024,Q3,88,False,False,STR-02
AUD-10004,#8001,Adelphi Holdings,Northeast,2024-12-15,2024,Q4,86,False,True,STR-01
AUD-10005,#8001,Adelphi Holdings,Northeast,2025-03-03,2025,Q1,87,False,False,STR-05
AUD-10006,#8001,Adelphi Holdings,Northeast,2025-06-14,2025,Q2,86,False,False,STR-03
AUD-10007,#8001,Adelphi Holdings,Northeast,2025-09-19,2025,Q3,88,False,False,STR-03
AUD-10008,#8001,Adelphi Holdings,Northeast,2025-11-28,2025,Q4,87,False,True,STR-01
AUD-10009,#8001,Adelphi Holdings,Northeast,2026-05-04,2026,Q2,88,False,False,STR-03
AUD-10010,#8002,Adelphi Holdings,Northeast,2024-03-09,2024,Q1,87,False,False,STR-01
AUD-10011,#8002,Adelphi Holdings,Northeast,2024-06-19,2024,Q2,86,False,False,STR-05
AUD-10012,#8002,Adelphi Holdings,Northeast,2024-09-24,2024,Q3,88,False,False,STR-04
AUD-10013,#8002,Adelphi Holdings,Northeast,2024-12-20,2024,Q4,87,False,False,STR-03
AUD-10014,#8002,Adelphi Holdings,Northeast,2025-06-23,2025,Q2,87,False,False,STR-04
AUD-10015,#8002,Adelphi Holdings,Northeast,2025-09-11,2025,Q3,85,False,False,STR-04
AUD-10016,#8002,Adelphi Holdings,Northeast,2025-12-11,2025,Q4,85,False,False,STR-03
AUD-10017,#8002,Adelphi Holdings,Northeast,2026-03-04,2026,Q1,88,False,False,STR-05
AUD-10018,#8002,Adelphi Holdings,Northeast,2026-05-25,2026,Q2,86,False,False,STR-01
AUD-10019,#8003,Adelphi Holdings,Northeast,2024-03-13,2024,Q1,85,False,False,STR-01
AUD-10020,#8003,Adelphi Holdings,Northeast,2024-06-21,2024,Q2,86,False,False,STR-04
AUD-10021,#8003,Adelphi Holdings,Northeast,2024-09-10,2024,Q3,87,False,False,STR-05
AUD-10022,#8003,Adelphi Holdings,Northeast,2024-12-27,2024,Q4,87,False,False,STR-02
AUD-10023,#8003,Adelphi Holdings,Northeast,2025-03-15,2025,Q1,85,True,False,STR-01
AUD-10024,#8003,Adelphi Holdings,Northeast,2025-06-09,2025,Q2,86,False,False,STR-04
AUD-10025,#8003,Adelphi Holdings,Northeast,2025-12-06,2025,Q4,87,False,False,STR-01
AUD-10026,#8003,Adelphi Holdings,Northeast,2026-03-11,2026,Q1,85,True,False,STR-04
AUD-10027,#8003,Adelphi Holdings,Northeast,2026-05-26,2026,Q2,87,False,True,STR-01
AUD-10028,#8004,Adelphi Holdings,Northeast,2024-03-13,2024,Q1,86,False,True,STR-03
AUD-10029,#8004,Adelphi Holdings,Northeast,2024-09-17,2024,Q3,86,False,False,STR-03
AUD-10030,#8004,Adelphi Holdings,Northeast,2024-12-07,2024,Q4,87,False,False,STR-05
AUD-10031,#8004,Adelphi Holdings,Northeast,2025-03-15,2025,Q1,87,False,False,STR-02
AUD-10032,#8004,Adelphi Holdings,Northeast,2025-06-02,2025,Q2,86,False,True,STR-03
AUD-10033,#8004,Adelphi Holdings,Northeast,2025-09-14,2025,Q3,86,False,True,STR-04
AUD-10034,#8004,Adelphi Holdings,Northeast,2025-12-24,2025,Q4,87,False,False,STR-01
AUD-10035,#8004,Adelphi Holdings,Northeast,2026-03-11,2026,Q1,86,False,False,STR-04
AUD-10036,#8004,Adelphi Holdings,Northeast,2026-05-28,2026,Q2,86,False,False,STR-02
AUD-10037,#8005,Boardwalk Restaurants,Northeast,2024-03-15,2024,Q1,87,False,False,STR-04
AUD-10038,#8005,Boardwalk Restaurants,Northeast,2024-06-05,2024,Q2,88,False,False,STR-04
AUD-10039,#8005,Boardwalk Restaurants,Northeast,2024-09-09,2024,Q3,87,False,False,STR-03
AUD-10040,#8005,Boardwalk Restaurants,Northeast,2024-12-10,2024,Q4,86,False,False,STR-03
AUD-10041,#8005,Boardwalk Restaurants,Northeast,2025-06-15,2025,Q2,89,False,False,STR-02
AUD-10042,#8005,Boardwalk Restaurants,Northeast,2025-09-05,2025,Q3,88,False,False,STR-02
AUD-10043,#8005,Boardwalk Restaurants,Northeast,2025-12-11,2025,Q4,87,False,False,STR-03
AUD-10044,#8005,Boardwalk Restaurants,Northeast,2026-03-27,2026,Q1,88,False,False,STR-01
AUD-10045,#8005,Boardwalk Restaurants,Northeast,2026-05-16,2026,Q2,88,False,False,STR-03
AUD-10046,#8006,Boardwalk Restaurants,Northeast,2024-03-06,2024,Q1,91,False,True,STR-02
AUD-10047,#8006,Boardwalk Restaurants,Northeast,2024-06-28,2024,Q2,92,False,False,STR-05
AUD-10048,#8006,Boardwalk Restaurants,Northeast,2024-08-30,2024,Q3,92,True,True,STR-02
AUD-10049,#8006,Boardwalk Restaurants,Northeast,2024-11-30,2024,Q4,92,False,True,STR-04
AUD-10050,#8006,Boardwalk Restaurants,Northeast,2025-02-28,2025,Q1,91,False,False,STR-03
AUD-10051,#8006,Boardwalk Restaurants,Northeast,2025-06-03,2025,Q2,92,False,False,STR-05
AUD-10052,#8006,Boardwalk Restaurants,Northeast,2025-09-11,2025,Q3,90,False,False,STR-05
AUD-10053,#8006,Boardwalk Restaurants,Northeast,2026-03-04,2026,Q1,90,False,False,STR-02
