StoreID,FranchiseOwner,Region,SurveyWeek,FiscalYear,FiscalQuarter,FiscalMonth,TotalResponses,TopBoxResponses,OSAT_TopBox_Pct,FoodQuality_Score,Service_Score,Cleanliness_Score,ValueScore
#8001,Adelphi Holdings,Northeast,2024-01-01,2024,Q1,1,31,23,72.9,4.33,4.28,4.13,4.13
#8001,Adelphi Holdings,Northeast,2024-01-08,2024,Q1,1,33,25,75.3,4.23,4.19,4.27,3.89
#8001,Adelphi Holdings,Northeast,2024-01-15,2024,Q1,1,36,26,73.0,4.18,4.17,4.12,3.98
#8001,Adelphi Holdings,Northeast,2024-01-29,2024,Q1,1,28,21,73.5,4.18,4.07,4.2,3.99
#8001,Adelphi Holdings,Northeast,2024-02-05,2024,Q1,2,35,26,72.9,4.19,4.0,4.2,4.03
#8001,Adelphi Holdings,Northeast,2024-02-12,2024,Q1,2,31,22,72.2,4.2,4.26,4.3,4.13
#8001,Adelphi Holdings,Northeast,2024-03-04,2024,Q1,3,32,23,73.4,4.18,4.18,4.38,4.07
#8001,Adelphi Holdings,Northeast,2024-03-11,2024,Q1,3,32,23,72.8,4.33,4.13,4.31,3.86
#8001,Adelphi Holdings,Northeast,2024-03-25,2024,Q1,3,34,25,74.1,4.08,4.28,4.2,3.85
#8001,Adelphi Holdings,Northeast,2024-04-01,2024,Q2,4,32,24,75.3,4.11,4.04,4.32,3.97
#8001,Adelphi Holdings,Northeast,2024-04-08,2024,Q2,4,36,26,72.4,4.13,4.09,4.39,4.13
#8001,Adelphi Holdings,Northeast,2024-04-15,2024,Q2,4,35,26,75.5,4.05,4.16,4.31,3.85
#8001,Adelphi Holdings,Northeast,2024-04-29,2024,Q2,4,29,22,74.5,4.07,4.17,4.27,3.91
#8001,Adelphi Holdings,Northeast,2024-05-06,2024,Q2,5,37,27,72.2,4.04,4.24,4.14,4.09
#8001,Adelphi Holdings,Northeast,2024-05-13,2024,Q2,5,36,26,72.8,4.2,4.08,4.17,3.93
#8001,Adelphi Holdings,Northeast,2024-05-20,2024,Q2,5,37,27,73.4,4.28,4.01,4.2,3.87
